GRB ID,X-Ray dt [hr],Optical dt [hr],|dt_x - dt_o| [hr],Beta_X,Beta_X Upper Sigma, Lower Sigma,Beta_OX, Bound of Sigma_OX,Lower Bound of Sigma_OX
ID-131004A,3.0555555555555554,2.8,0.25555555555555554,-0.8,0.3,0.3,-0.7688052271593396,0.053066742979340484,0.05607848162327137
ID-131004A,3.0555555555555554,2.8,0.25555555555555554,-0.8,0.3,0.3,-0.7015303893312612,0.05896958323660853,0.059586373132444435
ID-131004A,3.0555555555555554,2.8,0.25555555555555554,-0.8,0.3,0.3,-0.7132612291296533,0.025863516245201525,0.03208388541434386
ID-131004A,6.666666666666667,7.3,0.6333333333333333,-0.8,0.3,0.3,-0.5417960364532773,0.03876680789457892,0.05119144686578073
ID-131004A,6.666666666666667,7.3,0.6333333333333333,-0.8,0.3,0.3,-0.5508087340301232,0.03749966630616213,0.04951819041734537
ID-131004A,6.666666666666667,7.3,0.6333333333333333,-0.8,0.3,0.3,-0.60418841159936,0.03674714726239331,0.04852449140685845
ID-131004A,6.666666666666667,7.3,0.6333333333333333,-0.8,0.3,0.3,-0.667600396878117,0.03602562440120495,0.04757172275715658
ID-131004A,6.666666666666667,7.3,0.6333333333333333,-0.8,0.3,0.3,-0.6047677913708002,0.03488032269529388,0.04605935548712315
ID-131004A,6.666666666666667,7.3,0.6333333333333333,-0.8,0.3,0.3,-0.5819450636147621,0.03356400902866649,0.04432116746537272
ID-140903A,11.666666666666666,12.2,0.5333333333333333,-0.6,0.1,0.1,-0.6539904514343565,0.1215917773573498,0.10372906125010202
ID-140903A,12.777777777777779,12.2,0.5777777777777777,-0.6,0.1,0.1,-0.5768990643425622,0.11980825507804319,0.10072725355931278
ID-141212A,5.833333333333333,5.4,0.43333333333333335,-1.7,2.75,0.81,0,0,0
